alpha,time,version,gap,nnz_coef
0.1,9.179337978363037,skglm,-1.942890293094024e-16,1.0
0.01,41.13398504257202,skglm,0.00007824008606162336,634.0
0.001,41.27553582191467,skglm,0.005575778190036374,10093.0
0.1,3.2189419269561768,celer,3.885780586188048e-16,1.0
0.01,24.27499508857727,celer,0.000011961437020091559,807.0
0.001,349.9211530685425,celer,0.000033024030623135525,21895.0
0.1,69.10096096992493,1.8.0,2.9143853990284157e-9,1.0
0.01,80.75921583175659,1.8.0,7.4955254964239635e-6,679.0
0.001,271.97856092453003,1.8.0,0.00003938935420447859,15668.0
0.1,68.36086511611938,1.7.0,2.914385314224409e-9,1.0
0.01,80.67711305618286,1.7.0,7.49552547242443e-6,856.0
0.001,306.90736174583435,1.7.0,0.000039389354199266676,21291.0
